record_index,system,component,supplier_before,supplier_after,role_hint,action,detail
135,Ens. Tablette cocktail,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
135,Ens. Tablette cocktail,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
135,Ens. Tablette cocktail,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
136,Ens. Têtière,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
136,Ens. Têtière,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
136,Ens. Têtière,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
137,Padding (rembourrage),ULTRA LEATHER SMOKE,Valco Group,Valco Group,tier2_second_transformation,removed_from_switchable_network,Industrial valve group; not coherent for listed plastics/resin/leather records without product proof.
137,Padding (rembourrage),ULTRA LEATHER SMOKE,Ultrafabrics (Japon),Ultrafabrics,tier3_first_transformation,normalize_reviewed_supplier,Synthetic high-performance fabric/leather-like material supplier.
140,Coussin têtière,velcro,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
140,Coussin têtière,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
140,Coussin têtière,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
141,Ens.coussin dossier version têtière,velcro,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
141,Ens.coussin dossier version têtière,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
141,Ens.coussin dossier version têtière,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
142,Ens. Coussin dossier,velcro,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
142,Ens. Coussin dossier,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
142,Ens. Coussin dossier,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
143,Manchette équipée,velcro,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
143,Manchette équipée,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
143,Manchette équipée,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
144,Coussin ottoman,velours,Velours,Velours,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
144,Coussin ottoman,velours,Tongxiang Zhuoyi Textile,Tongxiang Zhuoyi Textile,tier3_first_transformation,moved_to_unverified,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.
144,Coussin ottoman,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
144,Coussin ottoman,velours,Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
144,Coussin ottoman,velours,SOMANI,SOMANI,tier3_first_transformation,infer_primary_after_review,selected SOMANI as primary for tier3_first_transformation
144,Coussin ottoman,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
145,Coussin têtière,velours,Velours,Velours,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
145,Coussin têtière,velours,Tongxiang Zhuoyi Textile,Tongxiang Zhuoyi Textile,tier3_first_transformation,moved_to_unverified,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.
145,Coussin têtière,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
145,Coussin têtière,velours,Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
145,Coussin têtière,velours,SOMANI,SOMANI,tier3_first_transformation,infer_primary_after_review,selected SOMANI as primary for tier3_first_transformation
145,Coussin têtière,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
146,Ens. Coussin assise,velours,Velours,Velours,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
146,Ens. Coussin assise,velours,Tongxiang Zhuoyi Textile,Tongxiang Zhuoyi Textile,tier3_first_transformation,moved_to_unverified,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.
146,Ens. Coussin assise,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
146,Ens. Coussin assise,velours,Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
146,Ens. Coussin assise,velours,SOMANI,SOMANI,tier3_first_transformation,infer_primary_after_review,selected SOMANI as primary for tier3_first_transformation
146,Ens. Coussin assise,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
147,Ens.coussin dossier version têtière,velours,Velours,Velours,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
147,Ens.coussin dossier version têtière,velours,Tongxiang Zhuoyi Textile,Tongxiang Zhuoyi Textile,tier3_first_transformation,moved_to_unverified,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.
147,Ens.coussin dossier version têtière,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
147,Ens.coussin dossier version têtière,velours,Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
147,Ens.coussin dossier version têtière,velours,SOMANI,SOMANI,tier3_first_transformation,infer_primary_after_review,selected SOMANI as primary for tier3_first_transformation
147,Ens.coussin dossier version têtière,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
148,Ens. Coussin dossier,velours,Velours,Velours,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
148,Ens. Coussin dossier,velours,Tongxiang Zhuoyi Textile,Tongxiang Zhuoyi Textile,tier3_first_transformation,moved_to_unverified,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.
148,Ens. Coussin dossier,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
148,Ens. Coussin dossier,velours,Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
148,Ens. Coussin dossier,velours,SOMANI,SOMANI,tier3_first_transformation,infer_primary_after_review,selected SOMANI as primary for tier3_first_transformation
148,Ens. Coussin dossier,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
149,Ens. Structure porte,velcro,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
149,Ens. Structure porte,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
149,Ens. Structure porte,velcro,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
150,Habillage sous fauteuil,velours,Velours,Velours,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
150,Habillage sous fauteuil,velours,Tongxiang Zhuoyi Textile,Tongxiang Zhuoyi Textile,tier3_first_transformation,moved_to_unverified,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.
150,Habillage sous fauteuil,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
150,Habillage sous fauteuil,velours,Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
150,Habillage sous fauteuil,velours,SOMANI,SOMANI,tier3_first_transformation,infer_primary_after_review,selected SOMANI as primary for tier3_first_transformation
150,Habillage sous fauteuil,velours,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
151,Ens. Structure porte,Z10CNT18,Hexcel,Hexcel,tier2_second_transformation,normalize_reviewed_supplier,Aerospace composites/carbon fiber supplier.
151,Ens. Structure porte,Z10CNT18,Solvay,Solvay,tier4_raw_material,removed_out_of_scope_for_component,"Valid aerospace chemical/materials supplier, but not valid for stainless steel records."
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Tissus:,Tissus:,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Aluminium,Aluminium,tier4_raw_material,removed_from_switchable_network,"Generic material label, not a supplier. Replace with Alcoa/Hindalco/Chalco/Constellium/etc. according to traceability."
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,"Zhejiang Yuxin Textile Co.,Ltd.","Zhejiang Yuxin Textile Co.,Ltd.",tier3_first_transformation,infer_primary_after_review,"selected Zhejiang Yuxin Textile Co.,Ltd. as primary for tier3_first_transformation"
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",Polymère,Polymère,tier4_raw_material,removed_from_switchable_network,"Generic material label, not a supplier. Replace with named polymer producer from purchasing/BOM."
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",SONY,SONY,tier2_second_transformation,moved_to_cots_upstream,"Real electronics brand, but too generic as supply node; use exact display part supplier/distributor."
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",Continental,Continental,tier1,moved_to_cots_upstream,Real electronics/automotive group but not a qualified aerospace seat supplier by current data.
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",SONY,SONY,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
158,Siége,"Tissu, mousse, polyéthylène",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
158,Siége,"Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
158,Siége,"Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
160,Siége,"autre (silicium, cuirs synthétique)",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
160,Siége,"autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
160,Siége,"autre (silicium, cuirs synthétique)",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
160,Siége,"autre (silicium, cuirs synthétique)",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
160,Siége,"autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
162,Siége,"16 % Tissu, mousse, polyéthylène",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
162,Siége,"16 % Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
162,Siége,"16 % Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
164,Siége,"8% autre (silicium, cuirs synthétique)",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
164,Siége,"8% autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
164,Siége,"8% autre (silicium, cuirs synthétique)",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
164,Siége,"8% autre (silicium, cuirs synthétique)",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
164,Siége,"8% autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
165,Siége,"16 % Tissu, mousse",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
165,Siége,"16 % Tissu, mousse",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
165,Siége,"16 % Tissu, mousse",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
165,Siége,"16 % Tissu, mousse",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
165,Siége,"16 % Tissu, mousse",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
167,Accoudoir allée,A2024 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
168,Siége,"Tissu, mousse, polyéthylène",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
168,Siége,"Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
168,Siége,"Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
169,Siége,"Tissu, mousse, polyéthylène",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
169,Siége,"Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
169,Siége,"Tissu, mousse, polyéthylène",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
170,Siége,"autre (silicium, cuirs synthétique)",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
170,Siége,"autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
170,Siége,"autre (silicium, cuirs synthétique)",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
170,Siége,"autre (silicium, cuirs synthétique)",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
170,Siége,"autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
171,Siége,"autre (silicium, cuirs synthétique)",Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
171,Siége,"autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
171,Siége,"autre (silicium, cuirs synthétique)",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
171,Siége,"autre (silicium, cuirs synthétique)",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
171,Siége,"autre (silicium, cuirs synthétique)",Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
