record_index,system,component,material_family,missing_role,missing_tier_code,candidate_name,candidate_type,confidence,modeling_action,rationale,source_ids,source_urls,active_supplier_recommendation
100,Ens. Têtière,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
101,Stowage assemblé avec porte,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
102,Support écran,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,tier1,T1,JAMCO / Collins / ACH / Safran internal integrator to validate,candidate_supplier_set,medium_low,validate_program_supplier_or_model_as_internal_Safran_operation,"Interior parts without T1 should be linked to the actual module/integration supplier, not directly to OEM by default.",SRC_JAMCO_001;SRC_COLLINS_001;SRC_ACH_001;SRC_SAFRAN_SEATS_001,https://www.jamco.co.jp/en/company/group.html;https://www.collinsaerospace.com/;https://www.ach-aeronefs.fr/en/contact/;https://www.safran-group.com/locations,no
116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,tier4_raw_material,T4,Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source,candidate_supplier_set,medium,choose_steelmaker_by_grade_certificate_before_activation,"For steel grades, the missing T4 is a steelmaker or alloy/raw steel source; choose the actual mill from material certificates.",SRC_ARCELORMITTAL_001;SRC_TATA_STEEL_001;SRC_BAOWU_001,https://luxembourg.arcelormittal.com/en/arcelormittal-in-luxembourg/headquarters;https://www.tata.com/business/tata-steel;https://craft.co/baosteel/locations,no
116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,tier3_first_transformation,T3,thyssenkrupp Materials France / Aubert & Duval / Euralliage,candidate_supplier_set,medium,select_existing_material_processor_based_on_grade_and_traceability,"For metal parts, T3 is usually stockholding, rolling/extrusion, forging, or first transformation before machining.",SRC_THYSSEN_001;SRC_AUBERT_001;SRC_EURALLIAGE_001,https://www.thyssenkrupp-aerospace.com/en/company/locations/france;https://www.aubertduval.com/;https://www.euralliage.com/coordonnees.htm,no
116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,tier2_second_transformation,T2,MGA Villeneuve St Lot - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,tier1,T1,Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment,candidate_supplier_set,medium_low,candidate_only_until_part_number_supplier_validation,Electronic equipment rows need an exact equipment integrator or part supplier before they become switchable T1 nodes.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001;SRC_AUBERON_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/;https://auberon-technologies.com/,no
123,Ens. Structure fixe,Alu,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
126,Powerbox,powerbox,electronics_cots,tier1,T1,Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment,candidate_supplier_set,medium_low,candidate_only_until_part_number_supplier_validation,Electronic equipment rows need an exact equipment integrator or part supplier before they become switchable T1 nodes.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001;SRC_AUBERON_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/;https://auberon-technologies.com/,no
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,general,tier1,T1,direct supplier or internal operation to validate,unknown_direct_supplier,low,manual_validation_required,"A T1 is structurally expected before OEM, but current data does not name it.",,,no
128,Ens. Coque,Résine BR623 - composite,adhesive_composite,tier1,T1,JAMCO / Collins / ACH / Safran internal integrator to validate,candidate_supplier_set,medium_low,validate_program_supplier_or_model_as_internal_Safran_operation,"Interior parts without T1 should be linked to the actual module/integration supplier, not directly to OEM by default.",SRC_JAMCO_001;SRC_COLLINS_001;SRC_ACH_001;SRC_SAFRAN_SEATS_001,https://www.jamco.co.jp/en/company/group.html;https://www.collinsaerospace.com/;https://www.ach-aeronefs.fr/en/contact/;https://www.safran-group.com/locations,no
129,Ens. Tablette repas,Silicone50 shore,rubber_silicone,tier4_raw_material,T4,Shin-Etsu / silicone raw chemistry source,candidate_supplier_set,medium,candidate_only_until_silicone_grade_traceability,"Silicone parts need an upstream silicone chemistry source; Shin-Etsu is already validated as a silicone-material actor, but exact grade/site remains open.",SRC_SHINETSU_001,https://www.shinetsusilicone-global.com/,no
131,Coussin têtière,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
132,Ens. Coussin assise,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
133,Ens.coussin dossier version têtière,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
134,Ens. Coussin dossier,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
135,Ens. Tablette cocktail,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
136,Ens. Têtière,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
138,Ens. Structure fixe,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
140,Coussin têtière,velcro,general,tier4_raw_material,T4,raw material producer to validate,unknown_material_source,low,manual_validation_required,No robust material-family rule is available for this row.,,,no
141,Ens.coussin dossier version têtière,velcro,general,tier4_raw_material,T4,raw material producer to validate,unknown_material_source,low,manual_validation_required,No robust material-family rule is available for this row.,,,no
142,Ens. Coussin dossier,velcro,general,tier4_raw_material,T4,raw material producer to validate,unknown_material_source,low,manual_validation_required,No robust material-family rule is available for this row.,,,no
143,Manchette équipée,velcro,general,tier4_raw_material,T4,raw material producer to validate,unknown_material_source,low,manual_validation_required,No robust material-family rule is available for this row.,,,no
144,Coussin ottoman,velours,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
145,Coussin têtière,velours,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
146,Ens. Coussin assise,velours,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
147,Ens.coussin dossier version têtière,velours,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
148,Ens. Coussin dossier,velours,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
149,Ens. Structure porte,velcro,general,tier4_raw_material,T4,raw material producer to validate,unknown_material_source,low,manual_validation_required,No robust material-family rule is available for this row.,,,no
150,Habillage sous fauteuil,velours,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,tier1,T1,Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment,candidate_supplier_set,medium_low,candidate_only_until_part_number_supplier_validation,Electronic equipment rows need an exact equipment integrator or part supplier before they become switchable T1 nodes.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001;SRC_AUBERON_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/;https://auberon-technologies.com/,no
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
156,Accoudoir allée,GLO: Steel sheet stamping and bending,general,tier2_second_transformation,T2,process owner not identified,unknown_process_owner,low,keep_gap_bridge_until_purchase_or_routing_data,"A T2 role is structurally expected, but the data does not identify whether it is a subcontractor or internal to T1.",,,no
161,Siége,65% aluminium,aluminium,tier2_second_transformation,T2,JAMCO Aircraft Interiors - Niigata - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
163,Siége,11% Moulage plastique,polymer_plastic,tier1,T1,JAMCO / Collins / ACH / Safran internal integrator to validate,candidate_supplier_set,medium_low,validate_program_supplier_or_model_as_internal_Safran_operation,"Interior parts without T1 should be linked to the actual module/integration supplier, not directly to OEM by default.",SRC_JAMCO_001;SRC_COLLINS_001;SRC_ACH_001;SRC_SAFRAN_SEATS_001,https://www.jamco.co.jp/en/company/group.html;https://www.collinsaerospace.com/;https://www.ach-aeronefs.fr/en/contact/;https://www.safran-group.com/locations,no
165,Siége,"16 % Tissu, mousse",textile_leather,tier1,T1,direct supplier or internal operation to validate,unknown_direct_supplier,low,manual_validation_required,"A T1 is structurally expected before OEM, but current data does not name it.",,,no
166,siege,titane fibre de carbone,titanium_carbon,tier4_raw_material,T4,Hexcel / SGL Carbon / Toray for carbon fiber; titanium source to validate,candidate_supplier_set,medium_low,split_material_before_supplier_activation,"The label mixes titanium and carbon fiber, so it likely needs separate T4 candidates for fiber and metal.",SRC_HEXCEL_001;SRC_SGL_001;SRC_TORAY_001,https://www.hexcel.com/About/;https://www.sglcarbon.com/en/markets-solutions/industries/aerospace/;https://www.toray.com/global/,no
166,siege,titane fibre de carbone,titanium_carbon,tier1,T1,JAMCO / Collins / ACH / Safran internal integrator to validate,candidate_supplier_set,medium_low,validate_program_supplier_or_model_as_internal_Safran_operation,"Interior parts without T1 should be linked to the actual module/integration supplier, not directly to OEM by default.",SRC_JAMCO_001;SRC_COLLINS_001;SRC_ACH_001;SRC_SAFRAN_SEATS_001,https://www.jamco.co.jp/en/company/group.html;https://www.collinsaerospace.com/;https://www.ach-aeronefs.fr/en/contact/;https://www.safran-group.com/locations,no
